plate	well	response
2	96	0.0011
2	95	0.165
2	94	0.633
2	93	0.519
2	92	0.2592166
2	91	0.36316237
2	90	0.20208414
2	89	0.067335494
2	88	0.3085828
2	87	0.23119397
2	86	0.1587381
2	85	0.42977434
2	84	0.124693654
2	83	0.21462393
2	82	0.2653616
2	81	0.48249587
2	80	0.19741501
2	79	0.057040706
2	78	0.09923113
2	77	0.26671645
2	76	0.25338304
2	75	0.24881606
2	74	0.11907643
2	73	0.27563974
2	72	0.24499734
2	71	0.37866238
2	70	0.5485317
2	69	0.27681676
2	68	0.031436875
2	67	0.14019692
2	66	0.38566813
2	65	0.26017308
2	64	0.27018902
2	63	0.115360744
2	62	0.060063753
2	61	0.13148996
2	60	0.2252603
2	59	0.23490173
2	58	0.30098936
2	57	0.14464793
2	56	0.07141503
2	55	0.17136134
2	54	0.22547927
2	53	0.032436475
2	52	0.17833683
2	51	0.2962056
2	50	0.25184923
2	49	0.41323483
2	48	0.059176486
2	47	0.4228335
2	46	0.107087165
2	45	0.27579683
2	44	0.17186916
2	43	0.4626463
2	42	0.611679
2	41	0.38623142
2	40	0.36572814
2	39	0.15331554
2	38	0.13786891
2	37	0.44614476
2	36	0.2981748
2	35	0.28480756
2	34	0.28097892
2	33	0.028152034
2	32	0.1292257
2	31	0.3122514
2	30	0.13717215
2	29	0.2750919
2	28	0.10148824
2	27	0.09514677
2	26	0.1236499
2	25	0.35110086
2	24	0.6219146
2	23	0.23112707
2	22	0.14826064
2	21	0.17023663
2	20	0.23671614
2	19	0.14236483
2	18	0.22570519
2	17	0.48934248
2	16	0.30247456
2	15	0.42206052
2	14	0.4048151
2	13	0.15360504
2	12	0.29425392
2	11	0.43730533
2	10	0.35537004
2	9	0.5514983
2	8	0.23764843
2	7	0.36550763
2	6	0.26199958
2	5	0.30841926
2	4	0.3486365
2	3	0.34284654
2	2	0.34355363
2	1	0.3819098
1	96	0.0006
1	95	0.066
1	94	0.57
1	93	0.622
1	92	0.20795579
1	91	0.2032027
1	90	0.16316748
1	89	0.119384564
1	88	0.41250226
1	87	0.20220219
1	86	0.25445765
1	85	0.058033764
1	84	0.27735955
1	83	0.10930842
1	82	0.40201065
1	81	0.09353579
1	80	0.56060386
1	79	0.12993222
1	78	0.21150278
1	77	0.05627405
1	76	0.25772625
1	75	0.30557695
1	74	0.15949379
1	73	0.07252271
1	72	0.2156373
1	71	0.3797398
1	70	0.093840264
1	69	0.22135481
1	68	0.20791954
1	67	0.3617252
1	66	0.17993094
1	65	0.1128164
1	64	0.6683518
1	63	0.18658355
1	62	0.6358702
1	61	0.32030314
1	60	0.0740586
1	59	0.2701459
1	58	0.0472201
1	57	0.25326663
1	56	0.19603682
1	55	0.45540562
1	54	0.22248076
1	53	0.10790658
1	52	0.06792876
1	51	0.1661866
1	50	0.5324538
1	49	0.31307304
1	48	0.20036949
1	47	0.5828095
1	46	0.1732443
1	45	0.1075644
1	44	0.16259286
1	43	0.51256263
1	42	0.1859252
1	41	0.35395983
1	40	0.12363057
1	39	0.30037436
1	38	0.03667838
1	37	0.06030232
1	36	0.4213019
1	35	0.3443459
1	34	0.06706028
1	33	0.2686846
1	32	0.07929251
1	31	0.5827913
1	30	0.6578031
1	29	0.21571545
1	28	0.13246933
1	27	0.6059121
1	26	0.29403606
1	25	0.018296065
1	24	0.416933
1	23	0.19284782
1	22	0.15338829
1	21	0.21789627
1	20	0.5596988
1	19	0.50052196
1	18	0.07361464
1	17	0.328186
1	16	0.34274855
1	15	0.1081712
1	14	0.1477281
1	13	0.036805797
1	12	0.27068916
1	11	0.12934047
1	10	0.3348717
1	9	0.40141687
1	8	0.1260431
1	7	0.37032995
1	6	0.5035611
1	5	0.6594127
1	4	0.19814283
1	3	0.12343795
1	2	0.23584749
1	1	0.25352514
